epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3161,1.45443,4.77133,1.03495,0,0,0,0,1.2439,4.8575,1.00695,3.892e-05,3.892e-05,3.892e-05
2,56.1437,1.12844,4.40513,0.89408,0,0,0,0,1.28434,4.56803,0.91084,8.06478e-05,8.06478e-05,8.06478e-05
3,83.4199,1.03614,3.99206,0.8507,0.01014,0.02714,0.00766,0.00596,1.1725,4.4488,0.87159,0.00011944,0.00011944,0.00011944
4,112.616,1.04698,3.60017,0.85117,0.04189,0.32716,0.08,0.05211,1.15842,4.26665,0.86771,0.000155296,0.000155296,0.000155296
5,138.706,0.98162,3.16496,0.83261,0.03938,0.69555,0.13808,0.08377,1.15815,3.96921,0.85618,0.000188217,0.000188217,0.000188217
6,163.38,1.01275,2.89668,0.84072,0.03628,0.86403,0.18486,0.10693,1.18285,3.73992,0.87175,0.000218202,0.000218202,0.000218202
7,187.321,0.91964,2.56647,0.81928,0.04137,0.95335,0.23465,0.15098,1.11255,3.50881,0.86217,0.000245252,0.000245252,0.000245252
8,211.396,0.87476,2.38706,0.82486,0.04402,1,0.31071,0.2298,1.04923,3.26457,0.8651,0.000269365,0.000269365,0.000269365
9,235.538,0.89432,2.27484,0.82695,0.4322,0.33781,0.42549,0.32423,1.0176,3.00203,0.87196,0.000290543,0.000290543,0.000290543
10,259.65,0.90649,2.12074,0.83147,0.55862,0.27834,0.4759,0.36722,1.05865,2.91389,0.89024,0.000308786,0.000308786,0.000308786
11,283.492,0.91529,2.03387,0.83623,0.75508,0.22941,0.49996,0.39191,0.95413,2.69985,0.86793,0.000324092,0.000324092,0.000324092
12,307.366,0.8901,1.97527,0.83472,0.73953,0.31972,0.53459,0.41509,0.98987,2.53497,0.88419,0.000336463,0.000336463,0.000336463
13,331.232,0.8612,1.88963,0.83561,0.68325,0.35701,0.57041,0.44135,1.04268,2.4578,0.89549,0.000335824,0.000335824,0.000335824
14,355.601,0.84614,1.82011,0.83474,0.60313,0.37266,0.59836,0.46483,1.07454,2.39052,0.90602,0.000317476,0.000317476,0.000317476
15,379.708,0.82312,1.76574,0.82495,0.65047,0.46942,0.64405,0.49858,1.09506,2.18174,0.9211,0.000299128,0.000299128,0.000299128
16,404.848,0.76251,1.58464,0.81023,0.64312,0.70447,0.70914,0.55855,1.02253,1.88366,0.90572,0.00028078,0.00028078,0.00028078
17,430.735,0.82059,1.58386,0.83065,0.65824,0.67048,0.7524,0.60156,1.0331,1.78313,0.91285,0.000262432,0.000262432,0.000262432
18,456.047,0.83614,1.53003,0.83494,0.70742,0.70378,0.80589,0.63985,1.05661,1.73137,0.91332,0.000244084,0.000244084,0.000244084
19,480.85,0.77452,1.41461,0.82149,0.71721,0.73335,0.84544,0.66928,1.01463,1.63957,0.89907,0.000225736,0.000225736,0.000225736
20,505.053,0.75376,1.36704,0.8237,0.76352,0.81248,0.87798,0.69132,1.01889,1.54301,0.90375,0.000207388,0.000207388,0.000207388
21,529.046,0.79355,1.56468,0.82917,0.78202,0.74582,0.86484,0.68634,1.04295,1.65706,0.9128,0.00018904,0.00018904,0.00018904
22,552.564,0.77383,1.36113,0.84567,0.84179,0.72458,0.87929,0.69328,1.04642,1.87341,0.90409,0.000170692,0.000170692,0.000170692
23,576.085,0.74749,1.40558,0.81783,0.80399,0.77521,0.89105,0.70676,1.05073,1.72246,0.91073,0.000152344,0.000152344,0.000152344
24,599.396,0.77463,1.39042,0.8278,0.78838,0.86428,0.88851,0.70242,1.04435,1.47837,0.91164,0.000133996,0.000133996,0.000133996
25,622.705,0.74106,1.26838,0.81492,0.80472,0.86207,0.89846,0.71095,1.03089,1.3258,0.9067,0.000115648,0.000115648,0.000115648
26,645.972,0.71131,1.21748,0.81955,0.80383,0.83435,0.90647,0.72301,1.03942,1.26885,0.91652,9.73e-05,9.73e-05,9.73e-05
27,669.263,0.69096,1.18996,0.83435,0.84558,0.83604,0.90807,0.72659,1.04944,1.23462,0.92527,7.8952e-05,7.8952e-05,7.8952e-05
28,692.747,0.68114,1.12349,0.82206,0.85224,0.84617,0.91523,0.73861,1.02856,1.19811,0.91864,6.0604e-05,6.0604e-05,6.0604e-05
29,716.249,0.76369,1.15291,0.84237,0.86299,0.85326,0.91877,0.73924,1.00738,1.16703,0.90828,4.2256e-05,4.2256e-05,4.2256e-05
30,739.678,0.75178,1.15702,0.83463,0.87053,0.85978,0.91955,0.73851,1.00009,1.15085,0.90402,2.3908e-05,2.3908e-05,2.3908e-05
